id,customer_id,product_id,product_name,issue_category,description,is_warranty_active,preferred_date,preferred_time,status,stage,assigned_mechanic_id,assigned_mechanic_name,visit_date,visit_time,staff_remarks,is_repeat_issue,repeat_issue_count
CLM-2026-1048,CUST-001,PROD-002,Samsung Double Door Refrigerator 324L,Cooling Failure,"Refrigerator upper freezer compartment is freezing solid, but lower cooling chamber is warm.",TRUE,2026-09-25,10:00 AM - 12:00 PM,In Progress,mechanic_assigned,MECH-001,Arun Kumar,2026-09-25,10:30 AM,"Priority case: Customer reported 3rd issue on this refrigerator. Recommended compressor coil check.",TRUE,3
CLM-2026-1042,CUST-001,PROD-002,Samsung Double Door Refrigerator 324L,Compressor Noise,Loud rattling noise from back of refrigerator intermittently every 30 minutes.,TRUE,2026-08-14,02:00 PM - 04:00 PM,Resolved,claim_resolved,MECH-001,Arun Kumar,2026-08-15,03:15 PM,Vibration dampener adjusted.,TRUE,2
CLM-2026-1035,CUST-001,PROD-002,Samsung Double Door Refrigerator 324L,Cooling Failure,Initial cooling loss issue after power surge.,TRUE,2026-07-28,11:00 AM - 01:00 PM,Resolved,claim_resolved,MECH-001,Arun Kumar,2026-07-29,11:30 AM,First cooling claim on this unit.,TRUE,1
CLM-2026-1050,CUST-001,PROD-003,Sony Bravia 55 inch 4K Ultra HD TV,Display Flickering,Vertical lines appearing across the right side of screen.,FALSE,2026-09-24,04:00 PM - 06:00 PM,Raised,staff_reviewing,,,,Product warranty expired on 10 Mar 2025. Standard service estimation required.,FALSE,1
CLM-2026-1049,CUST-002,PROD-004,Daikin 1.5 Ton 5 Star Inverter AC,Water Leakage,Indoor unit is dripping water down the bedroom wall.,TRUE,2026-09-23,09:00 AM - 11:00 AM,In Progress,visit_scheduled,MECH-001,Arun Kumar,2026-09-23,09:30 AM,Condensation drain pipe blockage suspected.,FALSE,1
CLM-2026-1045,CUST-004,PROD-006,Philips Digital Air Fryer HD9252,Power Failure,Device does not turn on. Display is completely blank.,FALSE,2026-09-20,03:00 PM - 05:00 PM,Rejected,claim_resolved,,,,Product out of warranty and customer declined paid repair estimate of Rs 2400.,FALSE,1
CLM-2026-1040,CUST-005,PROD-007,Whirlpool 29L Convection Microwave,Turntable Motor Jammed,Microwave heats normally but glass turntable does not rotate.,TRUE,2026-09-15,11:00 AM - 01:00 PM,Resolved,claim_resolved,MECH-005,Pooja Verma,2026-09-16,11:45 AM,Covered under manufacturer warranty.,FALSE,1
CLM-2026-1051,CUST-003,PROD-005,HP Spectre x360 14" OLED Laptop,Battery / Charging,Battery charges only up to 45% and drops rapidly.,TRUE,2026-09-26,01:00 PM - 03:00 PM,Raised,claim_raised,,,,Awaiting initial staff review. Warranty active until 20 Nov 2026.,FALSE,1
CLM-2026-1046,CUST-002,PROD-008,Dyson V12 Detect Slim Cordless Vacuum,Motor Pulsing,Laser fluffy head motor pulses on and off when vacuuming rugs.,TRUE,2026-09-17,10:00 AM - 12:00 PM,In Progress,service_completed,MECH-002,Rajesh Sharma,2026-09-18,10:30 AM,Mechanic visited and cleared airway sensor. Awaiting final closure.,FALSE,1
CLM-2026-1031,CUST-001,PROD-001,LG Washing Machine 8kg Front Load,Drain Filter Warning,OE error code displaying on LED panel during rinse cycle.,TRUE,2026-07-05,02:00 PM - 04:00 PM,Resolved,claim_resolved,MECH-002,Rajesh Sharma,2026-07-06,02:30 PM,Routine drain pump debris removal.,FALSE,1
